"de_002" "de_003" "de_004" "decd_001" "decd_002" "decd_006"
"ich" 3.81919756221432 4.26250098123872 5.06466184023266 5.69894196857967 5.69780021637216 5.17438929373482
"und" 3.23006602336211 2.95941596671638 3.33828352205928 2.64908624559154 2.64855551548664 2.62156835785325
"sie" 1.77755205688167 2.16265012952351 1.95532454674834 1.16223148445014 1.16199863765677 1.80118245565791
"die" 1.92652784831556 1.59353167438574 1.87179011199802 1.44277011862777 1.44248106743599 1.43452953847564
"nicht" 1.19519214491282 1.35410942774158 1.36748963554236 1.35059313882655 1.35032255479425 1.70951922636234
"das" 1.56763162349755 1.22458591726195 1.32108161623662 1.24639307470343 1.24614336659054 1.48036115312342
"zu" 0.998814965295412 0.910589528220425 1.06429057607821 1.21032382173774 1.21008133990464 1.3153673403914
"der" 1.31708142881327 1.00478844493288 0.878658498855269 1.09410067329272 1.09388147613896 0.962463907603465
"ist" 1.24259353309633 1.05188790328911 1.13235567105996 0.877685155498557 0.877509316023561 0.985379714927357
"in" 1.10377518198747 0.993013580343826 0.887940102716416 1.06604680987496 1.06583323316104 0.843301709519226
"es" 0.870154054511596 1.11861213596044 0.742528308891776 1.03398525168323 1.03377809832913 1.22370411109583
"war" 0.8532249873032 0.757516288562681 1.0426335004022 0.977877524847708 0.977681612373282 0.788303771941886
"er" 0.819366852886406 0.502394222466442 0.495018872594518 1.13818531580635 1.13795728653284 1.4436958614052
"du" 0.907398002370069 0.76536619828872 0.891033970670132 0.857646681628727 0.857474856753616 0.788303771941886
"mir" 0.538344337227019 0.584818274589842 0.646618402326589 1.18627765309394 1.1860399887807 1.01287868371603
"den" 0.968342644320298 0.816390611507968 0.881752366808985 0.777492786149407 0.777337019673839 0.65997525092809
"wir" 0.941256136786863 1.49933275767329 1.23754718148629 0.344661750561077 0.344592699443042 0.311654979604931
"mit" 0.792280345352971 0.832090430960044 0.850813687271827 0.753446617505611 0.753295668549906 0.893716485631789
"ein" 0.859996614186558 0.6790171913023 0.832250479549533 0.845623597306829 0.84545418119165 0.788303771941886
"aber" 0.700863382427628 0.773216108014758 0.785842460243797 0.865662071176659 0.865488640461594 0.838718548054448
